"mineral name","point group","space group"
"Abellaite","3mm","P31c"
"Abellaite","6mm","P63mc"
"Abellaite","3mm","P31c"
"Abelsonite"," "," "
"Abelsonite"," "," "
"Abelsonite"," "," "
"Abelsonite",1,"P1"
"Abenakiite-(Ce)",3,"R3"
"Abenakiite-(Ce)",3,"R3"
"Abernathyite","4/m2/m2/m","P4/nmm"
"Abernathyite","4/m2/m2/m","P4/ncc"
"Abernathyite","4/m2/m2/m","P4/ncc"
"Abernathyite","4/m2/m2/m","P4/ncc"
"Abhurite"," "," "
"Abhurite"," "," "
"Abhurite"," "," "
"Abhurite",322,"R32"
"Abramovite",1,"P1"
"Abramovite",1,"P1"
"Abramovite"," "," "
"Abswurmbachite","4/m2/m2/m","I41/acd"
"Abuite",222,"P212121"
"Acanthite","2/m","P21/n"
"Acanthite","2/m","P21/n"
"Acanthite"," "," "
"Acanthite"," "," "
"Acanthite","2/m","P21/n"
"Acetamide"," "," "
"Acetamide","3mm","R3c"
"Acetamide","3mm","R3c"
"Achalaite","2/m","C2/c"
"Achavalite","6mm","P63mc"
"Achavalite","6/m2/m2/m","P63/mmc"
"Achavalite","6mm","P63mc"
"Achavalite","6mm","P63mc"
"Achyrophanite",222,"P2221"
"Acmonidesite",222,"C2221"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
"Actinolite","2/m","C2/m"
