mineral name,point group,space group
Abellaite,3mm; 6mm,P31c; P63mc
Abelsonite,1,P1
Abenakiite-(Ce),3,R3
Abernathyite,4/m2/m2/m; 4/m2/m2/m,P4/nmm; P4/ncc
Abhurite,322,R32
Abramovite,1,P1
Abswurmbachite,4/m2/m2/m,I41/acd
Abuite,222,P212121
Acanthite,2/m,P21/n
Acetamide,3mm,R3c
Achalaite,2/m,C2/c
Achavalite,6mm; 6/m2/m2/m,P63mc; P63/mmc
Achyrophanite,222,P2221
Acmonidesite,222,C2221
Actinolite,2/m,C2/m
Acuminite,2/m,C2/c
Adachiite,3mm,R3m
Adamite,2/m2/m2/m,Pnnm
Adamsite-(Y),1,P1
Adanite,2/m,P21/n
Addibischoffite,1,P1
Adelite,222,P212121
Admontite,2/m,P21/c
Adolfpateraite,2/m,P21/c
Adranosite,4/m2/m2/m,I41/acd
Adranosite-(Fe),4/m2/m2/m,I41/acd
Adrianite,43m,I43d
Aegirine,2/m,C2/c
Aegirine-augite,2/m,C2/c
Aenigmatite,1,P1
Aerinite,3mm,P3c1
Aerugite,32/m2/m,R3m
Aeschynite-(Nd),2/m2/m2/m; 2/m2/m2/m,Pbmn; Pncm
Aeschynite-(Y),2/m2/m2/m,Pnma
Afghanite,3mm,P31c
Afmite,1,P1
Afwillite,m; 1,Cc; P1
Agaite,2mm,Pca21
Agakhanovite-(Y),6/m2/m2/m,P6/mcc
Agardite-(Ce),6/m,P63/m
Agardite-(La),6/m,P63/m
Agardite-(Nd),6/m,P63/m
Agardite-(Y),6/m,P63/m
Agmantinite,m; 2mm,Pn; P21nm
Agrellite,1,P1
Agricolaite,2/m,C2/c
Agrinierite,2mm,F2mm
Aguilarite,222; 2/m,P212121; P21/n
Aheylite,1,P1
Ahlfeldite,2/m,P21/n
Ahrensite,4/m32/m,Fd3m
Aikinite,2/m2/m2/m,Pnma
Aiolosite,6/m,P63/m
Airdite,m,Cc
Ajoite,1,P1
Akaganeite,2/m; 4/m; 2/m,I2/m; I4/m; C2/m
Akaogiite,2/m,P21/c
Akatoreite,1,P1
Akdalaite,6mm; 2mm; 3mm,P63mc; Cmc21; P31c
Akermanite,42m; 2/m,P421m; P21/n
Akhtenskite,6mm,P63mc
Akimotoite,3,R3
Aklimaite,2/m,C2/m
Akopovaite,2/m,C2/m
Akrochordite,2/m,P21/c
Aksaite,2/m2/m2/m,Pbca
Aktashite,3,R3
Alabandite,4/m32/m,Fm3m
Alacranite,2/m,P2/c
Alamosite,2/m,P2/n
Alarsite,322,P3121
Albertiniite,2/m,P21/n
Albite,1; 2/m,C1; C2/m
Albrechtschraufite,1,P1
Alburnite,43m,F43m
Alcantarillaite,2/m2/m2/m,Imma
Alcaparrosaite,2/m,C2/c
Aldomarinoite,2/m,P21/m
Aldridgeite,2/m,C2/c
Aleksandrovite,2/m,C2/c
Aleksite,32/m2/m,P3m1
Aleutite,2/m,C2/m
Alexkhomyakovite,6/m2/m2/m,P63/mcm
Alexkuznetsovite-(Ce),2/m,P21/c
Alexkuznetsovite-(La),2/m,P21/c
Alflarsenite,2,P21
Alforsite,6/m,P63/m
Alfredopetrovite,62m,P62c
Alfredstelznerite,2mm,Pca21
Algodonite,6/m2/m2/m,P63/mmc
Alicewilsonite-(YCe),1,P1
Alicewilsonite-(YLa),1,P1
Allabogdanite,2/m2/m2/m,Pnma
Allactite,2/m,P21/a
Allanite-(Ce),2/m,P21/m
Allanite-(La),2/m,P21/m
Allanite-(Nd),2/m,P21/m
Allanpringite,2/m,P21/n
Allantoin,2/m,P21/c
Allargentum,6/m2/m2/m,P63/mmc
Alleghanyite,2/m,P21/b
Allendeite,3; 6/m2/m2/m,R3; P63/mmc
Allochalcoselite,2/m,C2/m
Alloclasite,2,P21
Alloriite,3mm,P31c
Alluaivite,32/m2/m,R3m
Alluaudite,2/m,C2/c
Almandine,4/m32/m,Ia3d
Almarudite,6/m2/m2/m,P6/mcc
Almeidaite,3,R3
Alnaperboeite-(Ce),2/m,P21/m
Alpeite,2/m2/m2/m,Pnmm
Alpersite,2/m,P21/c
Alsakharovite-Zn,m,Cm
Alstonite,1; 3mm,C1; P31m
Altaite,4/m32/m,Fm3m
Althausite,2/m2/m2/m,Pnma
Althupite,1,P1
Altisite,2/m,C2/m
Alum-(K),332/m,Pa3
Alum-(Na),332/m,Pa3
Aluminite,2/m,P21/c
Aluminium,4/m32/m,Fm3m
Alumino-oxy-rossmanite,3mm,R3m
Aluminoceladonite,2/m; 322,C2/m; P3112
Aluminocerite-(Ce),3mm,R3c
Aluminocopiapite,1,P1
Aluminocoquimbite,32/m2/m,P31c
Aluminomagnesiohulsite,2/m,P2/m
Aluminopyracmonite,3,R3
Aluminosugilite,6/m2/m2/m,P6/mcc
Alumoakermanite,42m,P421m
Alumoedtollite,1,P1
Alumohydrocalcite,1,P1
Alumoklyuchevskite,2,I2
Alumotantite,2/m2/m2/m,Pbcn
Alumovesuvianite,4/m,P4/n
Alunite,32/m2/m,R3m
Alunogen,1,P1
Alvanite,2/m,P21/n
Alwilkinsite-(Y),222,P212121
Amakinite,32/m2/m; 32/m2/m,R3m; P3m1
Amamoorite,2/m,P21/a
Amarantite,1,P1
Amarillite,2/m,C2/c
Amblygonite,1; 1,C1; P1
Ambrinoite,1,P1
Ameghinite,2/m,C2/c
Amesite,1; 3,C1; R3
Amgaite,322,P321
Amicite,2,I2
Aminoffite,4/m2/m2/m; 4/m,I4/mmm; P42/n
Ammineite,2/m2/m2/m,Cmcm
Ammonioalunite,32/m2/m,R3m
Ammonioborite,2/m,C2/c
Ammoniojarosite,32/m2/m,R3m
Ammoniolasalite,2/m,C2/c
Ammonioleucite,4/m,I41/a
Ammoniomagnesiovoltaite,4/m32/m,Fd3c
Ammoniomathesiusite,4/m,P4/n
Ammoniotinsleyite,2/m,P21/n
Ammoniovoltaite,4/m32/m,Fd3c
Ammoniozippeite,2/m2/m2/m,Ccmb
Amstallite,2/m,C2/c
Analcime,4/m32/m; 2/m; 4/m; 3; 4/m2/m2/m; 1; 2/m2/m2/m,Ia3d; I2/a; I41/a; R3; I41/acd; P1; Ibca
Anandite,m; 2/m2/m2/m,Am; Pnmn
Anapaite,1,P1
Anastasenkoite,1,P1
Anatase,4/m2/m2/m,I41/amd
Anatolyite,32/m2/m,R3c
Ancylite-(Ce),2mm; 2/m2/m2/m,Pmc21; Pmcn
Ancylite-(La),2/m2/m2/m,Pmcn
Andalusite,2/m2/m2/m,Pnnm
Andersonite,32/m2/m,R3m
Andorite IV,2mm; 2/m,Pm2a; P21/c
Andorite VI,2mm; 2/m2/m2/m,Pn21a; Bbmm
Andradite,4/m32/m; 1,Ia3d; I1
Andreadiniite,2/m,P21/c
Andremeyerite,2/m2/m2/m; 2/m,Bmcb; P21/c
Andreyivanovite,2/m2/m2/m,Pnma
Andrianovite,32/m2/m; 3mm,R3m; R3m
Anduoite,2/m2/m2/m,Pnnm
Andychristyite,1,P1
Andymcdonaldite,4/m2/m2/m,P42/mnm
Andyrobertsite,2/m,P21/m
Angarfite,222,C2221
Angastonite,1,P1
Angelaite,2/m2/m2/m,Pnma
Angelellite,1,P1
Anglesite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pbnm
Anhydrite,2/m2/m2/m; 622; 222; 2/m2/m2/m; 2/m2/m2/m,Bmmb; P6222; C222; Bbmm; Amma
Anhydrokainite,3,R3
Anilite,2/m2/m2/m,Pnma
Ankerite,3,R3
Ankinovichite,2/m,P21/n
Annabergite,2/m,C2/m
Annite,2/m,C2/m
Anorpiment,1,P1
Anorthite,1; 1; 1,P1; I1; C1
Anorthominasragrite,1,P1
Ansermetite,2/m,C2/c
Antarcticite,322,P321
Anthoinite,1,I1
Anthophyllite,2/m2/m2/m,Pnma
Antigorite,m; 2/m,Pm; C2/m
Antimonselite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Antimony,32/m2/m; 6/m2/m2/m; 4/m32/m; 4/m32/m; 4/m2/m2/m; 4/m32/m,R3m; P63/mmc; Pm3m; Fm3m; I4/mmm; Im3m
Antipinite,1,P1
Antlerite,2/m2/m2/m,Pnma
Antofagastaite,2/m,P21/m
Anyuiite,4/m2/m2/m,I4/mcm
Anzaite-(Ce),2/m,C2/m
Apexite,1,P1
Aphthitalite,32/m2/m,P3m1
Apjohnite,2/m,P21/c
Aplowite,2/m,P21/n
Apuanite,4/m2/m2/m,P42/mbc
Aqualite,3,R3
Aradite,32/m2/m,R3m
Aragonite,2/m2/m2/m,Pmcn
Arakiite,m,Cc
Aramayoite,1,P1
Arangasite,2/m; 2,P2/a; P21
Arapovite,4/m2/m2/m,P4/mcc
Aravaipaite,2/m; 1,P21/n; P1
Aravaite,32/m2/m,R3m
Arcanite,2/m2/m2/m,Pnam
Archerite,42m; 2mm; 42m,I42d; Fdd2; F4d2
Arctite,32/m2/m,R3m
Ardealite,m,Cc
Ardennite-(As),2/m2/m2/m,Pnmm
Ardennite-(V),2/m2/m2/m,Pnmm
Arfvedsonite,2/m,C2/m
Argandite,2/m,P21/n
Argentodufrenoysite,1,P1
Argentojarosite,32/m2/m,R3m
Argentoliveingite,1,P1
Argentopearceite,322,P321
Argentopentlandite,4/m32/m,Fm3m
Argentopolybasite-T2ac,322,P321
Argentopyrite,2/m,P21/n
Argentotennantite-(Zn),43m,I43m
Argentotetrahedrite-(Fe),43m,I43m
Argentotetrahedrite-(Hg),43m,I43m
Argentotetrahedrite-(Zn),43m,I43m
Argesite,32/m2/m,R3c
Argutite,4/m2/m2/m,P42/mnm
Argyrodite,2mm,Pna21
Arhbarite,1,P1
Ariegilatite,32/m2/m,R3m
Arisite-(Ce),62m,P6m2
Arisite-(La),62m,P6m2
