,mineral name,point group,space group
0,Abellaite,3mm,P31c
1,Abellaite,6mm,P63mc
6,Abelsonite,1,P1
7,Abenakiite-(Ce),3,R3
9,Abernathyite,4/m2/m2/m,P4/nmm
10,Abernathyite,4/m2/m2/m,P4/ncc
16,Abhurite,322,R32
17,Abramovite,1,P1
20,Abswurmbachite,4/m2/m2/m,I41/acd
21,Abuite,222,P212121
22,Acanthite,2/m,P21/n
28,Acetamide,3mm,R3c
30,Achalaite,2/m,C2/c
31,Achavalite,6mm,P63mc
32,Achavalite,6/m2/m2/m,P63/mmc
35,Achyrophanite,222,P2221
36,Acmonidesite,222,C2221
37,Actinolite,2/m,C2/m
108,Acuminite,2/m,C2/c
110,Adachiite,3mm,R3m
116,Adamite,2/m2/m2/m,Pnnm
120,Adamsite-(Y),1,P1
123,Adanite,2/m,P21/n
125,Addibischoffite,1,P1
128,Adelite,222,P212121
129,Admontite,2/m,P21/c
131,Adolfpateraite,2/m,P21/c
132,Adranosite,4/m2/m2/m,I41/acd
133,Adranosite-(Fe),4/m2/m2/m,I41/acd
135,Adrianite,43m,I43d
136,Aegirine,2/m,C2/c
181,Aegirine-augite,2/m,C2/c
185,Aenigmatite,1,P1
190,Aerinite,3mm,P3c1
192,Aerugite,32/m2/m,R3m
195,Aeschynite-(Nd),2/m2/m2/m,Pbmn
196,Aeschynite-(Nd),2/m2/m2/m,Pncm
199,Aeschynite-(Y),2/m2/m2/m,Pnma
207,Afghanite,3mm,P31c
210,Afmite,1,P1
211,Afwillite,m,Cc
215,Afwillite,1,P1
218,Agaite,2mm,Pca21
220,Agakhanovite-(Y),6/m2/m2/m,P6/mcc
222,Agardite-(Ce),6/m,P63/m
224,Agardite-(La),6/m,P63/m
225,Agardite-(Nd),6/m,P63/m
226,Agardite-(Y),6/m,P63/m
232,Agmantinite,m,Pn
233,Agmantinite,2mm,P21nm
236,Agrellite,1,P1
238,Agricolaite,2/m,C2/c
243,Agrinierite,2mm,F2mm
244,Aguilarite,222,P212121
245,Aguilarite,2/m,P21/n
249,Aheylite,1,P1
250,Ahlfeldite,2/m,P21/n
254,Ahrensite,4/m32/m,Fd3m
264,Aikinite,2/m2/m2/m,Pnma
266,Aiolosite,6/m,P63/m
268,Airdite,m,Cc
271,Ajoite,1,P1
272,Akaganeite,2/m,I2/m
273,Akaganeite,4/m,I4/m
276,Akaganeite,2/m,C2/m
294,Akaogiite,2/m,P21/c
297,Akatoreite,1,P1
299,Akdalaite,6mm,P63mc
300,Akdalaite,2mm,Cmc21
301,Akdalaite,3mm,P31c
305,Akermanite,42m,P421m
312,Akermanite,2/m,P21/n
331,Akhtenskite,6mm,P63mc
332,Akimotoite,3,R3
335,Aklimaite,2/m,C2/m
337,Akopovaite,2/m,C2/m
339,Akrochordite,2/m,P21/c
341,Aksaite,2/m2/m2/m,Pbca
342,Aktashite,3,R3
346,Alabandite,4/m32/m,Fm3m
364,Alacranite,2/m,P2/c
369,Alamosite,2/m,P2/n
373,Alarsite,322,P3121
379,Albertiniite,2/m,P21/n
382,Albite,1,C1
469,Albite,2/m,C2/m
501,Albrechtschraufite,1,P1
502,Alburnite,43m,F43m
503,Alcantarillaite,2/m2/m2/m,Imma
505,Alcaparrosaite,2/m,C2/c
508,Aldomarinoite,2/m,P21/m
509,Aldridgeite,2/m,C2/c
510,Aleksandrovite,2/m,C2/c
511,Aleksite,32/m2/m,P3m1
512,Aleutite,2/m,C2/m
513,Alexkhomyakovite,6/m2/m2/m,P63/mcm
514,Alexkuznetsovite-(Ce),2/m,P21/c
515,Alexkuznetsovite-(La),2/m,P21/c
516,Alflarsenite,2,P21
518,Alforsite,6/m,P63/m
521,Alfredopetrovite,62m,P62c
525,Alfredstelznerite,2mm,Pca21
526,Algodonite,6/m2/m2/m,P63/mmc
528,Alicewilsonite-(YCe),1,P1
529,Alicewilsonite-(YLa),1,P1
530,Allabogdanite,2/m2/m2/m,Pnma
535,Allactite,2/m,P21/a
536,Allanite-(Ce),2/m,P21/m
561,Allanite-(La),2/m,P21/m
564,Allanite-(Nd),2/m,P21/m
568,Allanpringite,2/m,P21/n
571,Allantoin,2/m,P21/c
572,Allargentum,6/m2/m2/m,P63/mmc
578,Alleghanyite,2/m,P21/b
579,Allendeite,3,R3
580,Allendeite,6/m2/m2/m,P63/mmc
581,Allochalcoselite,2/m,C2/m
583,Alloclasite,2,P21
585,Alloriite,3mm,P31c
586,Alluaivite,32/m2/m,R3m
591,Alluaudite,2/m,C2/c
616,Almandine,4/m32/m,Ia3d
634,Almarudite,6/m2/m2/m,P6/mcc
636,Almeidaite,3,R3
639,Alnaperboeite-(Ce),2/m,P21/m
644,Alpeite,2/m2/m2/m,Pnmm
645,Alpersite,2/m,P21/c
647,Alsakharovite-Zn,m,Cm
649,Alstonite,1,C1
653,Alstonite,3mm,P31m
654,Altaite,4/m32/m,Fm3m
665,Althausite,2/m2/m2/m,Pnma
666,Althupite,1,P1
667,Altisite,2/m,C2/m
686,Aluminite,2/m,P21/c
687,Aluminium,4/m32/m,Fm3m
691,Aluminoceladonite,2/m,C2/m
693,Aluminoceladonite,322,P3112
694,Aluminocerite-(Ce),3mm,R3c
696,Aluminocopiapite,1,P1
732,Aluminocoquimbite,32/m2/m,P31c
734,Aluminomagnesiohulsite,2/m,P2/m
735,Alumino-oxy-rossmanite,3mm,R3m
736,Aluminopyracmonite,3,R3
738,Aluminosugilite,6/m2/m2/m,P6/mcc
739,Alum-(K),332/m,Pa3
748,Alum-(Na),332/m,Pa3
752,Alumoakermanite,42m,P421m
755,Alumoedtollite,1,P1
756,Alumohydrocalcite,1,P1
757,Alumoklyuchevskite,2,I2
763,Alumotantite,2/m2/m2/m,Pbcn
764,Alumovesuvianite,4/m,P4/n
765,Alunite,32/m2/m,R3m
781,Alunogen,1,P1
786,Alvanite,2/m,P21/n
787,Alwilkinsite-(Y),222,P212121
789,Amakinite,32/m2/m,R3m
790,Amakinite,32/m2/m,P3m1
791,Amamoorite,2/m,P21/a
794,Amarantite,1,P1
800,Amarillite,2/m,C2/c
803,Amblygonite,1,C1
809,Amblygonite,1,P1
810,Ambrinoite,1,P1
815,Ameghinite,2/m,C2/c
818,Amesite,1,C1
821,Amesite,3,R3
822,Amgaite,322,P321
823,Amicite,2,I2
826,Aminoffite,4/m2/m2/m,I4/mmm
828,Aminoffite,4/m,P42/n
829,Ammineite,2/m2/m2/m,Cmcm
833,Ammonioalunite,32/m2/m,R3m
836,Ammonioborite,2/m,C2/c
837,Ammoniojarosite,32/m2/m,R3m
840,Ammoniolasalite,2/m,C2/c
841,Ammonioleucite,4/m,I41/a
843,Ammoniomagnesiovoltaite,4/m32/m,Fd3c
846,Ammoniomathesiusite,4/m,P4/n
848,Ammoniotinsleyite,2/m,P21/n
849,Ammoniovoltaite,4/m32/m,Fd3c
850,Ammoniozippeite,2/m2/m2/m,Ccmb
